,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
30,claim-lexicon,0.2,0.0,0.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
31,claim-lexicon,0.2,0.0,0.2,0.010093161886892112,0.005204319253495099,0.008748383883808749
32,claim-lexicon,0.2,0.0,0.4,0.010093161886892112,0.005204319253495099,0.008748383883808749
33,claim-lexicon,0.2,0.0,0.6000000000000001,0.010093161886892112,0.005204319253495099,0.008748383883808749
34,claim-lexicon,0.2,0.0,0.8,0.010093161886892112,0.005204319253495099,0.008748383883808749
35,claim-lexicon,0.2,0.0,1.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
36,claim-lexicon,0.2,0.2,0.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
37,claim-lexicon,0.2,0.2,0.2,0.010093161886892112,0.005204319253495099,0.008748383883808749
38,claim-lexicon,0.2,0.2,0.4,0.010093161886892112,0.005204319253495099,0.008748383883808749
39,claim-lexicon,0.2,0.2,0.6000000000000001,0.010093161886892112,0.005204319253495099,0.008748383883808749
40,claim-lexicon,0.2,0.2,0.8,0.010093161886892112,0.005204319253495099,0.008748383883808749
41,claim-lexicon,0.2,0.2,1.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
42,claim-lexicon,0.2,0.4,0.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
43,claim-lexicon,0.2,0.4,0.2,0.010093161886892112,0.005204319253495099,0.008748383883808749
44,claim-lexicon,0.2,0.4,0.4,0.010093161886892112,0.005204319253495099,0.008748383883808749
45,claim-lexicon,0.2,0.4,0.6000000000000001,0.010093161886892112,0.005204319253495099,0.008748383883808749
46,claim-lexicon,0.2,0.4,0.8,0.010093161886892112,0.005204319253495099,0.008748383883808749
47,claim-lexicon,0.2,0.4,1.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
48,claim-lexicon,0.2,0.6000000000000001,0.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
49,claim-lexicon,0.2,0.6000000000000001,0.2,0.010093161886892112,0.005204319253495099,0.008748383883808749
50,claim-lexicon,0.2,0.6000000000000001,0.4,0.010093161886892112,0.005204319253495099,0.008748383883808749
51,claim-lexicon,0.2,0.6000000000000001,0.6000000000000001,0.010093161886892112,0.005204319253495099,0.008748383883808749
52,claim-lexicon,0.2,0.6000000000000001,0.8,0.010093161886892112,0.005204319253495099,0.008748383883808749
53,claim-lexicon,0.2,0.6000000000000001,1.0,0.011394993932941773,0.005204319253495099,0.009903780815583824
54,claim-lexicon,0.2,0.8,0.0,0.010093161886892112,0.005204319253495099,0.008748383883808749
55,claim-lexicon,0.2,0.8,0.2,0.010093161886892112,0.005204319253495099,0.008748383883808749
56,claim-lexicon,0.2,0.8,0.4,0.010093161886892112,0.005204319253495099,0.008748383883808749
57,claim-lexicon,0.2,0.8,0.6000000000000001,0.010093161886892112,0.005204319253495099,0.008748383883808749
58,claim-lexicon,0.2,0.8,0.8,0.010093161886892112,0.005204319253495099,0.008748383883808749
59,claim-lexicon,0.2,0.8,1.0,0.012021349265725765,0.005204319253495099,0.010448171050175484
60,claim-lexicon,0.4,0.0,0.0,0.0,0.0,0.0
61,claim-lexicon,0.4,0.0,0.2,0.0,0.0,0.0
62,claim-lexicon,0.4,0.0,0.4,0.0,0.0,0.0
63,claim-lexicon,0.4,0.0,0.6000000000000001,0.0,0.0,0.0
64,claim-lexicon,0.4,0.0,0.8,0.0,0.0,0.0
65,claim-lexicon,0.4,0.0,1.0,0.0,0.0,0.0
66,claim-lexicon,0.4,0.2,0.0,0.0,0.0,0.0
67,claim-lexicon,0.4,0.2,0.2,0.0,0.0,0.0
68,claim-lexicon,0.4,0.2,0.4,0.0,0.0,0.0
69,claim-lexicon,0.4,0.2,0.6000000000000001,0.0,0.0,0.0
70,claim-lexicon,0.4,0.2,0.8,0.0,0.0,0.0
71,claim-lexicon,0.4,0.2,1.0,0.0,0.0,0.0
72,claim-lexicon,0.4,0.4,0.0,0.0,0.0,0.0
73,claim-lexicon,0.4,0.4,0.2,0.0,0.0,0.0
74,claim-lexicon,0.4,0.4,0.4,0.0,0.0,0.0
75,claim-lexicon,0.4,0.4,0.6000000000000001,0.0,0.0,0.0
76,claim-lexicon,0.4,0.4,0.8,0.0,0.0,0.0
77,claim-lexicon,0.4,0.4,1.0,0.0,0.0,0.0
78,claim-lexicon,0.4,0.6000000000000001,0.0,0.0,0.0,0.0
79,claim-lexicon,0.4,0.6000000000000001,0.2,0.0,0.0,0.0
80,claim-lexicon,0.4,0.6000000000000001,0.4,0.0,0.0,0.0
81,claim-lexicon,0.4,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0
82,claim-lexicon,0.4,0.6000000000000001,0.8,0.0,0.0,0.0
83,claim-lexicon,0.4,0.6000000000000001,1.0,0.0,0.0,0.0
84,claim-lexicon,0.4,0.8,0.0,0.0,0.0,0.0
85,claim-lexicon,0.4,0.8,0.2,0.0,0.0,0.0
86,claim-lexicon,0.4,0.8,0.4,0.0,0.0,0.0
87,claim-lexicon,0.4,0.8,0.6000000000000001,0.0,0.0,0.0
88,claim-lexicon,0.4,0.8,0.8,0.0,0.0,0.0
89,claim-lexicon,0.4,0.8,1.0,0.0,0.0,0.0
90,claim-lexicon,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
91,claim-lexicon,0.6000000000000001,0.0,0.2,0.0,0.0,0.0
92,claim-lexicon,0.6000000000000001,0.0,0.4,0.0,0.0,0.0
93,claim-lexicon,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0
94,claim-lexicon,0.6000000000000001,0.0,0.8,0.0,0.0,0.0
95,claim-lexicon,0.6000000000000001,0.0,1.0,0.0,0.0,0.0
96,claim-lexicon,0.6000000000000001,0.2,0.0,0.0,0.0,0.0
97,claim-lexicon,0.6000000000000001,0.2,0.2,0.0,0.0,0.0
98,claim-lexicon,0.6000000000000001,0.2,0.4,0.0,0.0,0.0
99,claim-lexicon,0.6000000000000001,0.2,0.6000000000000001,0.0,0.0,0.0
100,claim-lexicon,0.6000000000000001,0.2,0.8,0.0,0.0,0.0
101,claim-lexicon,0.6000000000000001,0.2,1.0,0.0,0.0,0.0
102,claim-lexicon,0.6000000000000001,0.4,0.0,0.0,0.0,0.0
103,claim-lexicon,0.6000000000000001,0.4,0.2,0.0,0.0,0.0
104,claim-lexicon,0.6000000000000001,0.4,0.4,0.0,0.0,0.0
105,claim-lexicon,0.6000000000000001,0.4,0.6000000000000001,0.0,0.0,0.0
106,claim-lexicon,0.6000000000000001,0.4,0.8,0.0,0.0,0.0
107,claim-lexicon,0.6000000000000001,0.4,1.0,0.0,0.0,0.0
