,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
54,arg-quality,0.2,0.8,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
55,arg-quality,0.2,0.8,0.2,0.5461491024821117,0.4370831678115836,0.4442029717634397
56,arg-quality,0.2,0.8,0.4,0.5453367815596435,0.4395676020811087,0.4394652403471798
57,arg-quality,0.2,0.8,0.6000000000000001,0.5497968989913753,0.44510045211044524,0.43778289943007503
58,arg-quality,0.2,0.8,0.8,0.5456926056326092,0.43707232835118004,0.43454641025062113
59,arg-quality,0.2,0.8,1.0,0.44324898339832813,0.35245040927330806,0.4126785565307044
60,arg-quality,0.4,0.0,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
61,arg-quality,0.4,0.0,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
62,arg-quality,0.4,0.0,0.4,0.5333613663051088,0.4232288343948053,0.43417165996460755
63,arg-quality,0.4,0.0,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.44255586480769926
64,arg-quality,0.4,0.0,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
65,arg-quality,0.4,0.0,1.0,0.48691968600451346,0.3683430010944333,0.39923246348872654
66,arg-quality,0.4,0.2,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
67,arg-quality,0.4,0.2,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
68,arg-quality,0.4,0.2,0.4,0.5333613663051088,0.4232288343948053,0.43417165996460755
69,arg-quality,0.4,0.2,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.44255586480769926
70,arg-quality,0.4,0.2,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
71,arg-quality,0.4,0.2,1.0,0.48691968600451346,0.3683430010944333,0.39923246348872654
72,arg-quality,0.4,0.4,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
73,arg-quality,0.4,0.4,0.2,0.53098136610076,0.4233503427550698,0.42576717874078557
74,arg-quality,0.4,0.4,0.4,0.5074081426678554,0.3916769126594071,0.4172485987492564
75,arg-quality,0.4,0.4,0.6000000000000001,0.5239497012961686,0.4151848299099483,0.4410288370776577
76,arg-quality,0.4,0.4,0.8,0.5125627751060833,0.4018139291035907,0.4294468227642804
77,arg-quality,0.4,0.4,1.0,0.4853585900809523,0.3714787463981743,0.40044088600697314
